year,temp_c_recon,flower_doy,flower_date
1947,5.4,107,1947-04-17
1948,6.9,102,1948-04-11
1949,5.4,107,1949-04-17
1950,7.7,99,1950-04-09
1951,8,98,1951-04-08
1952,6,105,1952-04-14
1953,7.2,101,1953-04-11
1954,8,98,1954-04-08
1955,8.3,97,1955-04-07
1956,7.7,99,1956-04-08
1957,6.6,103,1957-04-13
1958,7.7,99,1958-04-09
1959,9.9,92,1959-04-02
1960,8.9,95,1960-04-04
1961,7.7,99,1961-04-09
1962,6.9,102,1962-04-12
1963,7.2,101,1963-04-11
1964,7.7,99,1964-04-08
1965,4.6,110,1965-04-20
1966,8.3,97,1966-04-07
1967,8.3,97,1967-04-07
1968,7.7,99,1968-04-08
1969,7.2,101,1969-04-11
1970,5.4,107,1970-04-17
1971,8,98,1971-04-08
1972,7.7,99,1972-04-08
1973,8.3,97,1973-04-07
1974,7.7,99,1974-04-09
1975,7.4,100,1975-04-10
1976,7.7,99,1976-04-08
1977,9.6,93,1977-04-03
1978,6.3,104,1978-04-14
1979,8.3,97,1979-04-07
1980,6.9,102,1980-04-11
1981,7.7,99,1981-04-09
1982,9.6,93,1982-04-03
1983,7.7,99,1983-04-09
1984,4.9,109,1984-04-18
1985,7.7,99,1985-04-09
1986,6.9,102,1986-04-12
1987,8.9,95,1987-04-05
1988,5.7,106,1988-04-15
1989,9.6,93,1989-04-03
1990,11.2,88,1990-03-29
1991,8.3,97,1991-04-07
1992,9.3,94,1992-04-03
1993,8.3,97,1993-04-07
1994,7.7,99,1994-04-09
1995,7.7,99,1995-04-09
1996,6.6,103,1996-04-12
1997,8.3,97,1997-04-07
1998,10.2,91,1998-04-01
1999,9.3,94,1999-04-04
2000,7.4,100,2000-04-09
2001,8.6,96,2001-04-06
2002,10.2,91,2002-04-01
2003,8,98,2003-04-08
2004,9.9,92,2004-04-01
2005,7.7,99,2005-04-09
2006,8,98,2006-04-08
2007,8.3,97,2007-04-07
2008,8.9,95,2008-04-04
2009,8.9,95,2009-04-05
2010,8.9,95,2010-04-05
